2020-01-11 22:08:00.730289:HostEvent:Associate, Task: 665822, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: GBR, Host: 28657, Type: GPU, cores: 8, Mem: 32, Mem Util %: 0, Comp: 8, Comp Util %: 0, Num Tasks: 3, : 
2020-01-11 22:08:00.732289:HostEvent:Associate, Task: 560086, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: ISL, Host: 18289, Type: CPU, cores: 8, Mem: 265, Mem Util %: 0, Comp: 8, Comp Util %: 0, Num Tasks: 8, : 
2020-01-11 22:08:00.734288:HostEvent:Associate, Task: 256702, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: ISL, Host: 97080, Type: GPU, cores: 8, Mem: 32, Mem Util %: 0, Comp: 8, Comp Util %: 0, Num Tasks: 5, : 
2020-01-11 22:08:00.736289:HostEvent:Associate, Task: 484714, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: USA, Host: 97196, Type: GPU, cores: 16, Mem: 32, Mem Util %: 0, Comp: 16, Comp Util %: 0, Num Tasks: 6, : 
2020-01-11 22:08:00.738291:HostEvent:Associate, Task: 283060, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: ISL, Host: 18289, Type: CPU, cores: 8, Mem: 265, Mem Util %: 0, Comp: 8, Comp Util %: 0, Num Tasks: 9, : 
2020-01-11 22:08:00.741293:HostEvent:Associate, Task: 671088, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: USA, Host: 97196, Type: GPU, cores: 16, Mem: 32, Mem Util %: 0, Comp: 16, Comp Util %: 0, Num Tasks: 7, : 
2020-01-11 22:08:00.743287:HostEvent:Associate, Task: 584004, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: USA, Host: 97196, Type: GPU, cores: 16, Mem: 32, Mem Util %: 0, Comp: 16, Comp Util %: 0, Num Tasks: 8, : 
2020-01-11 22:08:00.743287:SchedulerEvent:Start, :
2020-01-11 22:08:00.743287:SchedulerEvent:New Day, :1 
2020-01-11 22:08:00.745288:HostEvent:Execute, Task: 648564, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 7, Run Time: 19.0, Deficit: 0.0000, Cost: 0.3500, Time Left: 18.0, DC: ISL, Host: 55302, Type: GPU, cores: 8, Mem: 32, Mem Util %: 21, Comp: 8, Comp Util %: 8, Num Tasks: 4, : 
